,date,I,I_p,C_p
0,2020-01-22,0,0.0,0.0
1,2020-01-23,0,0.0,0.0
2,2020-01-24,0,0.0,0.0
3,2020-01-25,0,0.0,0.0
4,2020-01-26,0,0.0,0.0
5,2020-01-27,0,0.0,0.0
6,2020-01-28,0,0.0,0.0
7,2020-01-29,0,0.0,0.0
8,2020-01-30,0,0.0,0.0
9,2020-01-31,0,0.0,0.0
10,2020-02-01,0,0.0,0.0
11,2020-02-02,0,0.0,0.0
12,2020-02-03,0,0.0,0.0
13,2020-02-04,0,0.0,0.0
14,2020-02-05,0,0.0,0.0
15,2020-02-06,0,0.0,0.0
16,2020-02-07,0,0.0,0.0
17,2020-02-08,0,0.0,0.0
18,2020-02-09,0,0.0,0.0
19,2020-02-10,0,0.0,0.0
20,2020-02-11,0,0.0,0.0
21,2020-02-12,0,0.0,0.0
22,2020-02-13,0,0.0,0.0
23,2020-02-14,0,0.0,0.0
24,2020-02-15,0,0.0,0.0
25,2020-02-16,0,0.0,0.0
26,2020-02-17,0,0.0,0.0
27,2020-02-18,0,0.0,0.0
28,2020-02-19,0,0.0,0.0
29,2020-02-20,0,0.0,0.0
30,2020-02-21,0,0.0,0.0
31,2020-02-22,0,0.0,0.0
32,2020-02-23,0,0.0,0.0
33,2020-02-24,0,0.0,0.0
34,2020-02-25,0,0.0,0.0
35,2020-02-26,1,0.0,1.0
36,2020-02-27,1,0.0,1.0
37,2020-02-28,1,0.0,1.0
38,2020-02-29,2,0.0,2.0
39,2020-03-01,2,0.0,2.0
40,2020-03-02,2,0.0,2.0
41,2020-03-03,2,2.944654178133422,2.0
42,2020-03-04,4,3.320070273425375,4.0
43,2020-03-05,4,3.52535922416757,4.0
44,2020-03-06,13,4.108861493328483,13.0
45,2020-03-07,13,5.889305517067884,13.0
46,2020-03-08,20,26.380681524144016,20.0
47,2020-03-09,25,40.129524310399816,25.0
48,2020-03-10,31,46.79979275219488,31.0
49,2020-03-11,38,71.19583947173626,38.0
50,2020-03-12,52,48.66310315743742,52.0
51,2020-03-13,151,69.7469328476631,151.0
52,2020-03-14,151,79.49579361387235,151.0
53,2020-03-15,162,292.4979174781019,162.0
54,2020-03-16,199,385.098867473003,200.0
55,2020-03-17,318,418.7142383732829,321.0
56,2020-03-18,367,450.78129280606237,372.0
57,2020-03-19,613,371.39625206901405,621.0
58,2020-03-20,780,565.2381746264683,793.0
59,2020-03-21,1004,1104.8283092157312,1021.0
60,2020-03-22,1519,1624.5229807032822,1546.0
61,2020-03-23,1888,1811.542536741993,1924.0
62,2020-03-24,2199,2996.212702111038,2247.0
63,2020-03-25,2493,3288.6425210351063,2554.0
64,2020-03-26,2902,3939.400125423957,2985.0
65,2020-03-27,3319,4235.1251537695125,3417.0
66,2020-03-28,3787,4209.431956868541,3904.0
67,2020-03-29,4114,4372.938006306883,4256.0
68,2020-03-30,4300,5088.67460052239,4579.0
69,2020-03-31,5389,5432.454146585773,5717.0
70,2020-04-01,6469,5607.865298677979,6836.0
71,2020-04-02,7593,6420.846378204758,8044.0
72,2020-04-03,8570,7779.047367833811,9056.0
73,2020-04-04,9788,10116.8623451448,10360.0
74,2020-04-05,10517,12635.67864422838,11130.0
75,2020-04-06,11470,13251.442403123665,12161.0
76,2020-04-07,13221,14071.77825702511,14034.0
77,2020-04-08,15224,14643.5722472972,16170.0
78,2020-04-09,16969,16520.952327810894,18092.0
79,2020-04-10,18408,17829.375036913607,19638.0
80,2020-04-11,19430,21545.05039041532,20727.0
81,2020-04-12,20796,23554.34439788348,22192.0
82,2020-04-13,21929,24080.178826632975,23430.0
83,2020-04-14,20684,24593.11393122081,25262.0
84,2020-04-15,12558,25653.301914364238,28320.0
85,2020-04-16,14475,23393.19344254629,30425.0
86,2020-04-17,17515,16128.180625886374,33682.0
87,2020-04-18,20278,12052.02808395888,36658.0
88,2020-04-19,14062,11329.813987309182,38654.0
89,2020-04-20,16026,14426.933966495588,40743.0
90,2020-04-21,17347,21412.572594928082,43079.0
91,2020-04-22,17533,18278.55259888647,45757.0
92,2020-04-23,20132,15529.289734822318,50036.0
93,2020-04-24,22684,13318.84052812908,54043.0
94,2020-04-25,26107,23945.0573936118,59324.0
95,2020-04-26,28662,25876.104926248965,63100.0
96,2020-04-27,31701,29740.934882808888,67446.0
